bin	UV_mean_fpkm
0	3725.3972753333333
1	556.958750666667
2	707.983311666667
3	342.8694016666668
4	269.3783573333333
5	127.17929766666668
6	266.0911706666667
7	234.1327556666666
8	834.1300569999996
9	2770.115097333333
10	65.24050599999991
11	111.966948
12	96.3640473333333
13	1925.4005086666696
14	127.9625983333337
15	113.0299970000001
16	1250.5679293333299
17	4979.4404716666595
18	97.37168900000003
19	3688.3993816666703
20	25655.14693766668
21	169.62775366666625
22	10348.058671666673
23	1754.9180790000037
24	621.7276539999992
25	4843.993519666664
26	693.3385513333337
27	2967.0126149999996
28	44.56407699999996
29	217.59894399999996
30	535.3649913333334
31	2448.2716429999996
32	371.71213133333356
33	1085.5951323333334
34	419.9550340000003
35	3201.4370843333368
36	921.306361666667
37	37.988499333333266
38	147.6435263333334
39	806.520722666667
40	1332.7055360000004
41	1674.5912266666671
42	66.8912673333334
43	3357.1460339999967
44	271.7789580000001
45	764.4807370000003
46	5825.663986999999
47	342.51203699999996
48	291.38530166666624
49	200.64323966666672
50	315.970723333333
51	288.95059799999973
52	536.7046973333333
53	448.5898726666664
54	1064.382134
55	461.81477233333334
56	141.70378100000002
57	692.8320786666663
58	983.8246736666665
59	206.635197
60	630.310192333334
61	4345.783671
62	16275.58872233333
63	18363.960453000003
64	1271.9790199999966
65	1391.53758166667
66	359.77785700000004
67	1946.671348666667
68	500.37345966666703
69	5101.401420000001
70	2406.885166999996
71	1296.5034630000002
72	475.283740333334
73	258.0289986666663
74	4187.002571333334
75	388.73224133333304
76	1676.4458399999999
77	441.6096473333336
78	369.57493499999964
79	1066.3461319999997
80	59.54582
81	407.6443323333333
82	660.268106
83	366.60454233333337
84	7415.591813666662
85	6138.920923666673
86	2882.481858
87	3626.369166666673
88	989.040313
89	338.97418766666647
90	807.0768116666662
91	52.3919266666666
92	165.66787999999968
93	133.7591666666667
94	111.61166066666671
95	75.337287
96	292.381602333333
97	337.8297423333331
98	971.49463
99	160.050223
100	705.942829333333
101	367.74701699999997
102	60.976809
103	68.35555033333333
104	63.24260800000004
105	47.61064300000004
106	60.21391466666667
107	42.8247933333334
108	145.64910500000002
109	223.86319933333328
110	3583.1286596666664
111	263.0466616666667
112	693.2611243333337
113	2291.282728999997
114	2257.8670076666635
115	466.07027199999965
116	100.555752
117	514.9643429999998
118	1047.8550306666662
119	247.1830570000003
120	342.05902133333404
121	484.461948666667
122	1036.4628159999997
123	4399.282150333337
124	361.8403323333333
125	762.6028829999997
126	37.75217599999997
127	249.53875233333326
128	696.277182666667
129	663.8589353333336
130	920.8222120000007
131	3545.3256799999967
132	342.696917333333
133	716.8869299999997
134	958.678197
135	296.920393333333
136	708.4481779999996
137	771.5855443333334
138	327.530352
139	24.3973986666667
140	37.7739593333333
141	1011.5226863333332
142	7852.819518333344
143	5261.020476999996
144	128.967717666667
145	144.9384923333333
146	1077.1353736666656
147	148.39647966666664
148	105.91210966666661
149	225.237041
150	108.00525000000007
151	1216.3415586666665
152	436.101249333333
153	545.9825589999996
154	2044.1539776666666
155	1672.2327233333338
156	159.3525826666666
157	237.338688
158	667.5946416666658
159	799.9616296666667
160	425.85143199999936
161	739.3595053333333
162	4596.646471666671
163	467.63919366666624
164	89.5757596666667
165	501.025113333333
166	437.214646333333
167	4947.78863133333
168	279.27442166666697
169	257.1853626666663
170	85.41389500000002
171	650.9295216666673
172	439.47627966666704
173	206.01088
174	3346.0851143333302
175	3046.2583706666696
176	100.20795566666668
177	909.628556
178	149.5637076666667
179	6910.4162860000015
180	1204.4630883333334
181	417.7638323333333
182	17617.756784333335
183	467.0861516666663
184	959.131998666667
185	1850.5870160000036
186	7787.21365433333
187	626.414073
188	165.2899636666667
189	390.550383333333
190	728.098154333333
191	14109.254222999967
192	1200.499764666666
193	1744.995617999999
194	219.99407899999997
195	216.9959133333337
196	50.816348
197	2881.3914166666673
198	327.42412899999994
199	547.454523
200	2002.3752199999994
201	1093.346562666667
202	1433.3680710000006
203	450.38616399999967
204	231.3848373333337
205	1462.2515583333334
206	1647.1600660000033
207	1197.0747906666666
208	150.1633406666666
209	400.107191666666
210	406.7136739999996
211	1298.3133540000033
212	68.55942833333336
213	1715.8273956666671
214	581.3098503333331
215	2937.0404266666706
216	332.66362700000036
217	1000.4441143333337
218	628.8438793333332
219	617.0952990000004
220	352.49465599999957
221	69.50585699999995
222	195.62107566666668
223	490.17199666666636
224	3617.4133326666633
225	293.7660616666666
226	3868.770922666663
227	451.0607863333333
228	694.6424259999993
229	440.42728233333304
230	1533.7370586666668
231	1808.8507883333302
232	334.86930066666685
233	214.72396299999986
234	2412.0966013333336
235	360.07076633333327
236	7400.881022000003
237	544.7643099999998
238	2972.8780863333304
239	375.255577333333
240	224.832155
241	2670.8465756666674
242	118.8642656666666
243	304.16335899999996
244	583.9810319999997
245	324.9017666666674
246	98.30471699999997
247	59.7329703333333
248	218.27220133333333
249	227.9961303333332
250	3893.6542316666637
251	360.11301266666635
252	119.5113586666667
253	8741.646949999997
254	2427.8481509999965
255	556.9837513333335
256	786.2567046666669
257	3169.940222
258	132.3200926666667
259	508.664825666667
260	3011.5739769999996
261	369.08630399999964
262	671.6577446666666
263	16707.192949333366
264	1700.9110366666703
265	200.1798920000003
266	127.2588546666667
267	1343.2362673333341
268	300.7808526666663
269	2292.801915666667
270	1397.9001073333325
271	246.58682033333332
272	3150.1167059999966
273	388.784570333333
274	475.6161283333333
275	466.7549063333338
276	352.83862966666675
277	936.9439910000001
278	380.25370366666664
279	282.303282
280	388.1857580000003
281	656.3067716666677
282	338.409639666667
283	348.2952986666663
284	2921.77005966667
