bin	ebfC_mean_fpkm
458	1019.8406523599999
459	271.3245033
460	429.32161163
461	1079.6256303
462	596.43200437
463	517.02320603
464	1990.2736609000003
465	1191.0392403
466	457.9438783
467	3204.86932897
468	2342.0971862999995
469	251.78694899
470	1137.78852487
471	1863.75219307
472	1091.36843877
473	917.18273
474	1809.0762454
475	4128.55200697
476	620.9402593
477	7041.4124723
478	409.57667897
479	500.59513667
480	506.33766799999995
481	1513.7255733000002
482	271.1116523
483	2134.17266333
484	686.32828597
485	648.81187203
486	580.61848833
487	3151.5189487
488	1208.0102407999998
489	1460.2091839299999
490	304.426632347
491	359.41300296
492	750.528618
493	866.99064603
494	798.3639424
495	780.10378667
496	755.66340098
497	361.37283031
498	528.95619263
499	1591.23461733
500	246.56199099999998
501	13802.6183417
502	1240.7401276699998
503	397.78142863
504	342.48154767000005
505	1380.94856697
506	3366.7657679000004
507	337.07215066000003
508	570.3702592999999
509	1231.05827327
510	574.9482053300001
511	342.29165300000005
512	1134.9882506600002
513	441.3945376
514	1509.9098337
515	12158.937278730002
516	92.481931
517	256.165113
518	559.14263741
519	1837.95996003
520	1836.1551717
521	628.37702763
522	517.63425303
523	644.74855404
524	451.54908567
525	10301.421538999999
526	438.7514724
527	486.47115470000006
528	701.9089063600001
529	1729.9073993000002
530	1230.73183296
531	1038.37508367
532	723.0526990000001
533	849.89071844
534	352.63040671
535	386.44918037
536	248.081276
537	96.41341933999999
538	255.20892903
539	733.72030494
540	459.95587437
541	546.3175524
542	340.90287933999997
543	272.85065237000003
544	2242.8469116700003
545	1493.7372507
546	73.97091600399999
547	61.888071999
548	108.576280993
549	91.98025766599999
550	4.147984667
551	45.951758003
552	57.515217663
553	289.89499037
554	101.83770333
555	217.27214132999998
556	533.32286731
557	474.295915
558	1474.5388763299998
559	630.6342513
560	512.569803
561	453.65386664
562	496.69025263
563	21.59004167
564	109.78447600000001
565	92.751326996
566	190.22577033
567	383.9953397
568	225.62988166
569	126.572362
570	167.47118133
571	608.1916050300001
572	644.8928239699999
573	283.0427663
574	276.40285533
575	167.265387
576	621.18726397
577	2123.5300423
578	4071.1715289999997
579	753.0569460300001
580	258.65142134
581	183.4981803
582	642.958355
583	129.47742567
584	2679.9842787
585	184.68255101
586	313.25367100000005
587	91.05794167
588	1276.3239296699999
589	1309.0618617
590	2052.8490197
591	1630.7586376599997
592	1207.88159567
593	267.78594066000005
594	3789.988407
595	3865.3293256
596	384.31934173
597	90.07507233
598	287.22809598000003
599	98.29118201
600	151.555776
601	220.76583630000002
602	629.2789626000001
603	107.64337932999999
604	579.8365063399999
605	517.04350534
606	547.5814296599999
607	396.12195937
608	250.76662199999998
609	585.21128836
610	268.24375566
611	577.54689733
612	104.24718
