bin	wt_mean_fpkm
0	671.4749896666667
1	682.8565690000003
2	818.789894666667
3	299.0548203333333
4	327.0709073333329
5	157.9642270000001
6	254.04112700000042
7	290.1426500000004
8	678.3809009999994
9	455.1444539999999
10	97.570834
11	188.0738080000003
12	163.77530233333331
13	651.9865603333334
14	176.999071666667
15	134.4375193333334
16	1785.1486446666634
17	3448.587314000004
18	106.19178133333332
19	1538.2304876666667
20	11091.162326333335
21	322.95030766666673
22	10023.221145000003
23	1979.9055099999975
24	896.5780773333337
25	7376.861321666666
26	482.968162666667
27	776.6957353333337
28	7.76582566666666
29	340.8965493333336
30	1312.3616163333334
31	504.557496666667
32	600.1791726666665
33	932.6079480000002
34	341.1998840000003
35	3875.6546106666665
36	1412.7054039999998
37	62.1615666666667
38	378.0025736666664
39	683.3844426666662
40	1389.380319666666
41	150.8341896666667
42	92.0078386666666
43	4293.899739666669
44	387.48797766666667
45	972.8063906666663
46	2408.4132663333367
47	412.131897666667
48	461.73273433333327
49	243.7131816666663
50	689.447631666667
51	752.5981299999996
52	637.1207229999997
53	328.9919970000004
54	1247.0690519999998
55	203.92431566666656
56	76.0051733333333
57	1319.8207400000001
58	1243.0901133333334
59	322.73920899999973
60	759.4820593333329
61	2467.407267333334
62	12863.47035166667
63	19877.94074866668
64	371.3580059999999
65	839.728203333333
66	360.4231629999997
67	1491.6515713333329
68	1348.760161666667
69	2345.66382366667
70	859.289898666666
71	1020.7256730000004
72	874.9843240000005
73	387.50016733333297
74	3566.8177183333323
75	472.5384796666666
76	1428.6966633333332
77	586.325618333333
78	33.00349966666667
79	994.0507573333336
80	69.3738476666667
81	445.9435873333333
82	476.43514366666636
83	281.1465043333333
84	431.16068700000034
85	1985.890853666667
86	4339.522177666663
87	3311.3711483333364
88	706.2189680000007
89	336.77144499999963
90	1197.8546190000002
91	59.555062333333304
92	281.0467300000003
93	192.7641016666667
94	211.440015
95	75.47313166666663
96	255.5412053333337
97	360.3049636666667
98	611.176468333334
99	298.53899366666644
100	591.3422673333336
101	559.3580293333335
102	86.6131083333333
103	96.2050623333334
104	33.16171599999997
105	34.74622399999997
106	13.22945366666668
107	35.861031
108	170.459792
109	355.63458933333334
110	5748.50735533333
111	399.65025633333306
112	751.6692029999999
113	1081.8742840000002
114	694.028050666666
115	466.6818333333333
116	164.06245766666672
117	659.649703333333
118	1180.3293520000004
119	442.6697153333338
120	484.39666499999976
121	308.4807546666667
122	356.28156366666707
123	12556.27367533333
124	344.7163863333334
125	825.0388703333338
126	49.207825
127	335.4276449999997
128	1387.7316646666663
129	953.941536666666
130	1306.3384873333337
131	4927.068609999997
132	489.609876
133	518.4806496666671
134	970.6354486666663
135	332.9320669999996
136	1372.7386076666671
137	1191.0131053333341
138	269.79355233333297
139	32.1942746666667
140	54.9582736666667
141	1824.397059333334
142	9130.716084333342
143	9635.878273666664
144	86.09215033333331
145	127.2450843333333
146	788.940527333333
147	222.32199766666665
148	110.01878866666681
149	285.22306633333335
150	112.67723666666667
151	1212.7095683333341
152	250.40771233333328
153	1104.7070566666666
154	1979.5865316666668
155	2399.5777586666704
156	202.4830903333333
157	441.2112246666663
158	1282.0978053333324
159	1008.3224869999999
160	601.027196666666
161	581.7479680000004
162	3480.418361
163	1354.5729273333334
164	137.4315996666667
165	632.6769703333333
166	392.21859499999994
167	1543.3818933333364
168	410.210178666667
169	144.92331400000006
170	41.626298000000034
